,name,player_y,dt,minutes,slug
16164,Clint Capela,Clint Capela,2017-10-17,18.166666666666668,capelca01
27373,Jeff Green,Jeff Green,2017-10-17,14.233333333333333,greenje02
15651,Gordon Hayward,Gordon Hayward,2017-10-17,5.25,haywago01
25820,J.R. Smith,J.R. Smith,2017-10-17,21.916666666666668,smithjr01
43842,Jordan Bell,Jordan Bell,2017-10-17,11.766666666666667,belljo01
36861,Patrick McCaw,Patrick McCaw,2017-10-17,18.65,mccawpa01
19489,David West,David West,2017-10-17,9.416666666666666,westda01
15733,Marcus Smart,Marcus Smart,2017-10-17,35.05,smartma01
41339,Cheick Diallo,Cheick Diallo,2017-10-18,0.8333333333333334,diallch01
41631,Thon Maker,Thon Maker,2017-10-18,13.75,makerth01
46375,Bam Adebayo,Bam Adebayo,2017-10-18,5.7,adebaba01
20240,Lance Stephenson,Lance Stephenson,2017-10-18,24.183333333333334,stephla01
20061,Khris Middleton,Khris Middleton,2017-10-18,43.43333333333333,middlkh01
46281,Derrick White,Derrick White,2017-10-18,0.16666666666666666,whitede01
11045,Rodney Hood,Rodney Hood,2017-10-18,17.666666666666668,hoodro01
41462,Dejounte Murray,Dejounte Murray,2017-10-18,25.4,murrade01
31057,Damian Lillard,Damian Lillard,2017-10-18,29.65,lillada01
4859,Taj Gibson,Taj Gibson,2017-10-18,27.15,gibsota01
46216,Brandon Paul,Brandon Paul,2017-10-18,0.16666666666666666,paulbr01
19888,Bojan Bogdanovi?,Bojan Bogdanovic,2017-10-18,29.4,bogdabo02
5152,Nikola Vu?evi?,Nikola Vucevic,2017-10-18,31.616666666666667,vucevni01
28754,Al-Farouq Aminu,Al-Farouq Aminu,2017-10-18,27.7,aminual01
19576,Joe Johnson,Joe Johnson,2017-10-18,19.55,johnsjo02
33041,Dante Cunningham,Dante Cunningham,2017-10-18,25.85,cunnida01
32125,Pat Connaughton,Pat Connaughton,2017-10-18,32.06666666666667,connapa01
28586,Al Horford,Al Horford,2017-10-18,33.45,horfoal01
333,Jimmy Butler,Jimmy Butler,2017-10-18,35.43333333333333,butleji01
6868,Evan Fournier,Evan Fournier,2017-10-18,34.416666666666664,fournev01
5016,Wesley Matthews,Wesley Matthews,2017-10-18,37.11666666666667,matthwe02
8341,Dewayne Dedmon,Dewayne Dedmon,2017-10-18,25.6,dedmode01
28453,Kent Bazemore,Kent Bazemore,2017-10-18,26.633333333333333,bazemke01
37128,Bryn Forbes,Bryn Forbes,2017-10-18,0.16666666666666666,forbebr01
35736,Rondae Hollis-Jefferson,Rondae Hollis-Jefferson,2017-10-18,27.566666666666666,holliro01
19357,Shabazz Muhammad,Shabazz Muhammad,2017-10-18,14.15,muhamsh01
19658,Dion Waiters,Dion Waiters,2017-10-18,38.3,waitedi01
20398,P.J. Tucker,P.J. Tucker,2017-10-18,29.1,tuckepj01
0,John Wall,John Wall,2017-10-18,37.15,walljo01
10905,Anthony Davis,Anthony Davis,2017-10-18,40.233333333333334,davisan02
40893,Taurean Waller-Prince,Taurean Prince,2017-10-18,25.85,princta02
21266,Patty Mills,Patrick Mills,2017-10-18,22.433333333333334,millspa02
40839,Malcolm Delaney,Malcolm Delaney,2017-10-18,11.316666666666666,delanma01
33394,Mike Muscala,Mike Muscala,2017-10-18,13.533333333333333,muscami01
40731,DeAndre' Bembry,DeAndre Bembry,2017-10-18,17.75,bembrde01
7130,Chandler Parsons,Chandler Parsons,2017-10-18,15.266666666666667,parsoch01
37661,Jaylen Brown,Jaylen Brown,2017-10-18,28.15,brownja02
35380,Brandan Wright,Brandan Wright,2017-10-18,26.75,wrighbr03
21611,Willie Cauley-Stein,Willie Cauley-Stein,2017-10-18,31.633333333333333,caulewi01
33512,James Ennis,James Ennis,2017-10-18,18.583333333333332,ennisja01
21765,Gary Harris,Gary Harris,2017-10-18,35.766666666666666,harriga01
21903,Trey Lyles,Trey Lyles,2017-10-18,1.5166666666666666,lylestr01
8592,Elfrid Payton,Elfrid Payton,2017-10-18,31.716666666666665,paytoel01
14086,George Hill,George Hill,2017-10-18,32.583333333333336,hillge01
10495,DeMarcus Cousins,DeMarcus Cousins,2017-10-18,38.4,couside01
40403,Dario ?ari?,Dario Saric,2017-10-18,22.7,saricda01
202,Hassan Whiteside,Hassan Whiteside,2017-10-18,36.233333333333334,whiteha01
31230,Harrison Barnes,Harrison Barnes,2017-10-18,38.05,barneha02
14468,Ryan Anderson,Ryan Anderson,2017-10-18,25.683333333333334,anderry01
21187,Jerryd Bayless,Jerryd Bayless,2017-10-18,27.866666666666667,bayleje01
27729,Nikola Joki?,Nikola Jokic,2017-10-18,35.55,jokicni01
4713,Garrett Temple,Garrett Temple,2017-10-18,29.9,templga01
44426,Dennis Smith,Dennis Smith Jr.,2017-10-18,29.9,smithde03
37329,Eric Bledsoe,Eric Bledsoe,2017-10-18,29.433333333333334,bledser01
34660,Terry Rozier,Terry Rozier,2017-10-18,26.8,roziete01
41183,Timothé Luwawu-Cabarrot,Timothe Luwawu-Cabarrot,2017-10-18,18.35,luwawti01
33241,Rudy Gobert,Rudy Gobert,2017-10-18,35.016666666666666,goberru01
20589,Trevor Booker,Trevor Booker,2017-10-18,27.9,booketr01
20664,Kosta Koufos,Kosta Koufos,2017-10-18,17.55,koufoko01
45089,Josh Jackson,Josh Jackson,2017-10-18,32.016666666666666,jacksjo02
30898,Josh Richardson,Josh Richardson,2017-10-18,34.93333333333333,richajo01
2024,Pau Gasol,Pau Gasol,2017-10-18,28.8,gasolpa01
20777,Giannis Antetokounmpo,Giannis Antetokounmpo,2017-10-18,36.93333333333333,antetgi01
926,Goran Dragi?,Goran Dragic,2017-10-18,30.616666666666667,dragigo01
20944,Jon Leuer,Jon Leuer,2017-10-18,19.35,leuerjo01
46531,Darius Miller,Darius Miller,2017-10-18,17.166666666666668,milleda01
20995,Luc Mbah a Moute,Luc Mbah a Moute,2017-10-18,24.016666666666666,mbahalu01
14263,John Henson,John Henson,2017-10-18,17.216666666666665,hensojo01
14241,Tony Allen,Tony Allen,2017-10-18,10.883333333333333,allento01
13124,Ricky Rubio,Ricky Rubio,2017-10-18,31.766666666666666,rubiori01
19007,Timofey Mozgov,Timofey Mozgov,2017-10-18,14.4,mozgoti01
44326,Dillon Brooks,Dillon Brooks,2017-10-18,29.416666666666668,brookdi01
45651,Alec Peters,Alec Peters,2017-10-18,10.6,peteral01
45671,Ekpe Udoh,Ekpe Udoh,2017-10-18,12.983333333333333,udohek01
16937,Marc Gasol,Marc Gasol,2017-10-18,29.366666666666667,gasolma01
29999,Maurice Harkless,Maurice Harkless,2017-10-18,25.55,harklma01
7954,Jeremy Lamb,Jeremy Lamb,2017-10-18,28.35,lambje01
6022,Aaron Gordon,Aaron Gordon,2017-10-18,34.21666666666667,gordoaa01
29892,Meyers Leonard,Meyers Leonard,2017-10-18,10.6,leoname01
36331,Alec Burks,Alec Burks,2017-10-18,15.366666666666667,burksal01
16777,Andrew Wiggins,Andrew Wiggins,2017-10-18,30.416666666666668,wiggian01
17106,James Harden,James Harden,2017-10-18,37.766666666666666,hardeja01
17284,Andre Drummond,Andre Drummond,2017-10-18,22.35,drumman01
42860,Caris LeVert,Caris LeVert,2017-10-18,27.75,leverca01
42772,Derrick Jones,Derrick Jones Jr.,2017-10-18,10.6,jonesde02
17445,Manu Ginóbili,Manu Ginobili,2017-10-18,20.8,ginobma01
43992,Semi Ojeleye,Semi Ojeleye,2017-10-18,11.65,ojelese01
29722,Mason Plumlee,Mason Plumlee,2017-10-18,15.9,plumlma01
36468,Jodie Meeks,Jodie Meeks,2017-10-18,19.05,meeksjo01
45793,Justin Jackson,Justin Jackson,2017-10-18,19.433333333333334,jacksju01
30700,Joffrey Lauvergne,Joffrey Lauvergne,2017-10-18,12.9,lauvejo01
17515,Mirza Teletovi?,Mirza Teletovic,2017-10-18,11.05,teletmi01
6163,Jason Smith,Jason Smith,2017-10-18,7.066666666666666,smithja02
12750,Darren Collison,Darren Collison,2017-10-18,30.183333333333334,collida01
12660,Dwight Howard,Dwight Howard,2017-10-18,31.45,howardw01
15734,Marcus Smart,Marcus Smart,2017-10-18,32.333333333333336,smartma01
586,Otto Porter,Otto Porter,2017-10-18,33.166666666666664,porteot01
43656,Jayson Tatum,Jayson Tatum,2017-10-18,36.53333333333333,tatumja01
7796,Tyler Johnson,Tyler Johnson,2017-10-18,21.3,johnsty01
15885,J.J. Redick,J.J. Redick,2017-10-18,32.38333333333333,redicjj01
30529,Mike Scott,Mike Scott,2017-10-18,14.833333333333334,scottmi01
16165,Clint Capela,Clint Capela,2017-10-18,28.333333333333332,capelca01
16639,Will Barton,Will Barton,2017-10-18,31.333333333333332,bartowi01
15502,Jamal Crawford,Jamal Crawford,2017-10-18,24.083333333333332,crawfja01
36097,Eric Moreland,Eric Moreland,2017-10-18,11.7,moreler01
12489,Danny Green,Danny Green,2017-10-18,32.7,greenda02
45479,Donovan Mitchell,Donovan Mitchell,2017-10-18,26.066666666666666,mitchdo01
15364,Rudy Gay,Rudy Gay,2017-10-18,23.7,gayru01
32438,Dennis Schröder,Dennis Schroder,2017-10-18,34.28333333333333,schrode01
36178,Spencer Dinwiddie,Spencer Dinwiddie,2017-10-18,16.533333333333335,dinwisp01
43354,Jordan Crawford,Jordan Crawford,2017-10-18,12.666666666666666,crawfjo02
16502,Amir Johnson,Amir Johnson,2017-10-18,15.133333333333333,johnsam01
30258,Jeff Teague,Jeff Teague,2017-10-18,24.9,teaguje01
8234,J.J. Barea,Juan Jose Barea,2017-10-18,18.1,bareajo01
30759,Justise Winslow,Justise Winslow,2017-10-18,23.266666666666666,winslju01
6706,Dirk Nowitzki,Dirk Nowitzki,2017-10-18,24.483333333333334,nowitdi01
29255,Allen Crabbe,Allen Crabbe,2017-10-18,26.783333333333335,crabbal01
42101,Skal Labissière,Skal Labissiere,2017-10-18,32.766666666666666,labissk01
18629,Aron Baynes,Aron Baynes,2017-10-18,15.966666666666667,baynear01
36654,D?vis Bert?ns,Davis Bertans,2017-10-18,4.266666666666667,bertada01
18789,Kyrie Irving,Kyrie Irving,2017-10-18,38.93333333333333,irvinky01
7658,Terrence Ross,Terrence Ross,2017-10-18,31.2,rosste01
41998,Treveon Graham,Treveon Graham,2017-10-18,17.033333333333335,grahatr01
34846,Derrick Favors,Derrick Favors,2017-10-18,28.45,favorde01
1042,Victor Oladipo,Victor Oladipo,2017-10-18,24.55,oladivi01
18925,Jeremy Lin,Jeremy Lin,2017-10-18,25.183333333333334,linje01
13049,Kenneth Faried,Kenneth Faried,2017-10-18,6.15,farieke01
29089,Ed Davis,Ed Davis,2017-10-18,13.883333333333333,davised01
46103,T.J. Leaf,TJ Leaf,2017-10-18,9.5,leaftj01
32929,Nenê Hilário,Nene Hilario,2017-10-18,17.616666666666667,hilarne01
19039,Trevor Ariza,Trevor Ariza,2017-10-18,32.43333333333333,arizatr01
41779,Jake Layman,Jake Layman,2017-10-18,12.0,laymaja01
19193,Eric Gordon,Eric Gordon,2017-10-18,34.81666666666667,gordoer01
14822,Thaddeus Young,Thaddeus Young,2017-10-18,33.333333333333336,youngth01
46691,Malik Monk,Malik Monk,2017-10-18,21.466666666666665,monkma01
5846,Cory Joseph,Cory Joseph,2017-10-18,24.666666666666668,josepco01
18457,Evan Turner,Evan Turner,2017-10-18,25.333333333333332,turneev01
5554,Bismack Biyombo,Bismack Biyombo,2017-10-18,16.066666666666666,biyombi01
29630,Thabo Sefolosha,Thabo Sefolosha,2017-10-18,20.5,sefolth01
474,Nerlens Noel,Nerlens Noel,2017-10-18,19.566666666666666,noelne01
18022,Ian Clark,Ian Clark,2017-10-18,21.083333333333332,clarkia01
11920,LaMarcus Aldridge,LaMarcus Aldridge,2017-10-18,38.81666666666667,aldrila01
5690,Kelly Oubre,Kelly Oubre Jr.,2017-10-18,32.483333333333334,oubreke01
32711,Tyreke Evans,Tyreke Evans,2017-10-18,20.066666666666666,evansty01
44144,Ben Simmons,Ben Simmons,2017-10-18,34.666666666666664,simmobe01
42381,Yogi Ferrell,Yogi Ferrell,2017-10-18,31.6,ferreyo01
42203,Malik Beasley,Malik Beasley,2017-10-18,1.5166666666666666,beaslma01
18165,Mike Conley,Mike Conley,2017-10-18,32.68333333333333,conlemi01
11802,Devin Booker,Devin Booker,2017-10-18,27.066666666666666,bookede01
45942,Josh Magette,Josh Magette,2017-10-18,4.233333333333333,magetjo01
42360,Demetrius Jackson,Demetrius Jackson,2017-10-18,10.233333333333333,jacksde01
18349,T.J. Warren,T.J. Warren,2017-10-18,27.883333333333333,warretj01
45960,Abdel Nader,Abdel Nader,2017-10-18,11.433333333333334,naderab01
29373,Tim Frazier,Tim Frazier,2017-10-18,12.633333333333333,fraziti01
11687,Greg Monroe,Greg Monroe,2017-10-18,16.816666666666666,monrogr01
46084,Damien Wilkins,Damien Wilkins,2017-10-18,11.016666666666667,wilkida02
45246,Daniel Theis,Daniel Theis,2017-10-18,4.75,theisda01
22043,Karl-Anthony Towns,Karl-Anthony Towns,2017-10-18,34.5,townska01
28160,Paul Millsap,Paul Millsap,2017-10-18,33.5,millspa01
45383,Dwayne Bacon,Dwayne Bacon,2017-10-18,20.45,bacondw01
39995,Andrew Harrison,Andrew Harrison,2017-10-18,19.15,harrian01
39312,Buddy Hield,Buddy Hield,2017-10-18,32.81666666666667,hieldbu01
34331,D.J. Augustin,D.J. Augustin,2017-10-18,16.283333333333335,augusdj01
24196,Rashad Vaughn,Rashad Vaughn,2017-10-18,3.4,vaughra01
39195,Marquese Chriss,Marquese Chriss,2017-10-18,12.083333333333334,chrisma01
24483,Kelly Olynyk,Kelly Olynyk,2017-10-18,21.0,olynyke01
44720,De'Aaron Fox,De'Aaron Fox,2017-10-18,23.6,foxde01
3165,T.J. McConnell,T.J. McConnell,2017-10-18,14.916666666666666,mccontj01
33918,Luke Babbitt,Luke Babbitt,2017-10-18,8.916666666666666,babbilu01
2310,Marcin Gortat,Marcin Gortat,2017-10-18,34.43333333333333,gortama01
33795,Emmanuel Mudiay,Emmanuel Mudiay,2017-10-18,18.566666666666666,mudiaem01
37960,Joel Embiid,Joel Embiid,2017-10-18,26.95,embiijo01
27010,Avery Bradley,Avery Bradley,2017-10-18,23.316666666666666,bradlav01
2568,Marvin Williams,Marvin Williams,2017-10-18,26.65,willima02
24643,Tyson Chandler,Tyson Chandler,2017-10-18,22.95,chandty01
9428,Shabazz Napier,Shabazz Napier,2017-10-18,22.7,napiesh01
22725,Tyus Jones,Tyus Jones,2017-10-18,23.1,jonesty01
44874,Jonathan Isaac,Jonathan Isaac,2017-10-18,16.95,isaacjo01
39122,Tyler Ulis,Tyler Ulis,2017-10-18,14.666666666666666,ulisty01
24744,Mario Chalmers,Mario Chalmers,2017-10-18,25.566666666666666,chalmma01
44684,Mike James,Mike James,2017-10-18,10.6,jamesmi02
724,Cody Zeller,Cody Zeller,2017-10-18,23.4,zelleco01
39725,Jamal Murray,Jamal Murray,2017-10-18,19.983333333333334,murraja01
39623,Dorian Finney-Smith,Dorian Finney-Smith,2017-10-18,10.883333333333333,finnedo01
26703,JaMychal Green,JaMychal Green,2017-10-18,3.8833333333333333,greenja01
38106,Malcolm Brogdon,Malcolm Brogdon,2017-10-18,41.43333333333333,brogdma01
3650,DeMarre Carroll,DeMarre Carroll,2017-10-18,27.516666666666666,carrode01
13324,Jrue Holiday,Jrue Holiday,2017-10-18,38.5,holidjr01
23261,Jonathon Simmons,Jonathon Simmons,2017-10-18,27.533333333333335,simmojo02
39565,Henry Ellenson,Henry Ellenson,2017-10-18,16.216666666666665,ellenhe01
24065,Reggie Jackson,Reggie Jackson,2017-10-18,27.166666666666668,jacksre01
9992,Devin Harris,Devin Harris,2017-10-18,16.4,harride01
23585,Nemanja Bjelica,Nemanja Bjelica,2017-10-18,12.766666666666667,bjeline01
23734,Gorgui Dieng,Gorgui Dieng,2017-10-18,13.5,dienggo01
10184,Ish Smith,Ishmael Smith,2017-10-18,20.833333333333332,smithis01
39895,Juan Hernangómez,Juan Hernangomez,2017-10-18,5.866666666666666,hernaju01
8862,Langston Galloway,Langston Galloway,2017-10-18,24.683333333333334,gallola01
26569,Vince Carter,Vince Carter,2017-10-18,14.183333333333334,cartevi01
3488,Kemba Walker,Kemba Walker,2017-10-18,35.43333333333333,walkeke02
3795,Robert Covington,Robert Covington,2017-10-18,29.133333333333333,covinro01
13910,Marco Belinelli,Marco Belinelli,2017-10-18,25.7,belinma01
9004,Dwight Powell,Dwight Powell,2017-10-18,13.9,poweldw01
26830,Joe Ingles,Joe Ingles,2017-10-18,32.63333333333333,inglejo01
44981,Caleb Swanigan,Caleb Swanigan,2017-10-18,17.5,swanica01
25929,Ian Mahinmi,Ian Mahinmi,2017-10-18,13.566666666666666,mahinia01
38834,Wilson Chandler,Wilson Chandler,2017-10-18,34.35,chandwi01
2721,Tobias Harris,Tobias Harris,2017-10-18,34.05,harrito02
9161,D'Angelo Russell,D'Angelo Russell,2017-10-18,30.466666666666665,russeda01
27131,Jusuf Nurki?,Jusuf Nurkic,2017-10-18,23.016666666666666,nurkiju01
45053,Markelle Fultz,Markelle Fultz,2017-10-18,17.9,fultzma01
25205,Myles Turner,Myles Turner,2017-10-18,33.95,turnemy01
25068,Stanley Johnson,Stanley Johnson,2017-10-18,40.333333333333336,johnsst04
24810,Matthew Dellavedova,Matthew Dellavedova,2017-10-18,26.483333333333334,dellama01
44548,John Collins,John Collins,2017-10-18,22.4,collijo01
22388,Ersan ?lyasova,Ersan Ilyasova,2017-10-18,23.783333333333335,ilyaser01
45030,Julyan Stone,Julyan Stone,2017-10-18,12.566666666666666,stoneju01
24917,Troy Daniels,Troy Daniels,2017-10-18,21.283333333333335,danietr01
22249,Wayne Ellington,Wayne Ellington,2017-10-18,9.95,ellinwa01
35473,Jarell Martin,Jarell Martin,2017-10-18,19.266666666666666,martija01
25740,Quincy Acy,Quincy Acy,2017-10-18,15.9,acyqu01
7376,E'Twaun Moore,E'Twaun Moore,2017-10-18,34.38333333333333,mooreet01
9295,James Johnson,James Johnson,2017-10-18,18.7,johnsja01
3039,Frank Kaminsky,Frank Kaminsky,2017-10-18,23.2,kaminfr01
34161,Bradley Beal,Bradley Beal,2017-10-18,35.61666666666667,bealbr01
8697,Tony Snell,Tony Snell,2017-10-18,29.483333333333334,snellto01
40355,Malachi Richardson,Malachi Richardson,2017-10-18,5.533333333333333,richama01
25355,Kyle Anderson,Kyle Anderson,2017-10-18,29.683333333333334,anderky01
38963,Domantas Sabonis,Domantas Sabonis,2017-10-18,19.216666666666665,sabondo01
37831,Dragan Bender,Dragan Bender,2017-10-18,20.816666666666666,bendedr01
13800,Courtney Lee,Courtney Lee,2017-10-19,31.45,leeco01
47657,Sindarius Thornwell,Sindarius Thornwell,2017-10-19,3.4,thornsi01
31719,Norman Powell,Norman Powell,2017-10-19,24.583333333333332,powelno01
6317,Luol Deng,Luol Deng,2017-10-19,13.133333333333333,denglu01
47459,Milo? Teodosi?,Milos Teodosic,2017-10-19,21.45,teodomi01
6340,Raymond Felton,Raymond Felton,2017-10-19,15.866666666666667,feltora01
30375,Justin Holiday,Justin Holiday,2017-10-19,34.88333333333333,holidju01
11373,DeAndre Jordan,DeAndre Jordan,2017-10-19,31.666666666666668,jordade01
35962,Blake Griffin,Blake Griffin,2017-10-19,33.86666666666667,griffbl01
37022,Willy Hernangómez,Guillermo Hernangomez,2017-10-19,3.7666666666666666,hernawi01
14658,Russell Westbrook,Russell Westbrook,2017-10-19,33.3,westbru01
7520,Robin Lopez,Robin Lopez,2017-10-19,31.733333333333334,lopezro01
41548,Denzel Valentine,Denzel Valentine,2017-10-19,25.516666666666666,valende01
38515,Brandon Ingram,Brandon Ingram,2017-10-19,30.516666666666666,ingrabr01
23393,C.J. Miles,C.J. Miles,2017-10-19,20.016666666666666,milescj01
1869,Julius Randle,Julius Randle,2017-10-19,17.966666666666665,randlju01
11206,Paul George,Paul George,2017-10-19,39.1,georgpa01
1160,Lou Williams,Louis Williams,2017-10-19,24.683333333333334,willilo02
25477,Andrew Bogut,Andrew Bogut,2017-10-19,11.1,bogutan01
36817,Ron Baker,Ron Baker,2017-10-19,22.633333333333333,bakerro01
12088,Austin Rivers,Austin Rivers,2017-10-19,26.433333333333334,riverau01
48017,Ryan Arcidiacono,Ryan Arcidiacono,2017-10-19,5.316666666666666,arcidry01
32589,Tim Hardaway,Tim Hardaway Jr.,2017-10-19,28.933333333333334,hardati02
17525,Steven Adams,Steven Adams,2017-10-19,29.6,adamsst01
1464,Carmelo Anthony,Carmelo Anthony,2017-10-19,33.68333333333333,anthoca01
17692,Serge Ibaka,Serge Ibaka,2017-10-19,24.233333333333334,ibakase01
42537,Fred VanVleet,Fred VanVleet,2017-10-19,12.983333333333333,vanvlfr01
17868,Enes Kanter,Enes Kanter,2017-10-19,22.283333333333335,kanteen01
35867,Josh Huestis,Josh Huestis,2017-10-19,2.566666666666667,huestjo01
47519,Alex Caruso,Alex Caruso,2017-10-19,12.216666666666667,carusal01
26191,Andre Roberson,Andre Roberson,2017-10-19,20.966666666666665,roberan03
1558,Kyle Lowry,Kyle Lowry,2017-10-19,31.333333333333332,lowryky01
47246,Quincy Pondexter,Quincy Pondexter,2017-10-19,11.916666666666666,pondequ01
9563,Jerian Grant,Jerian Grant,2017-10-19,27.166666666666668,grantje02
38714,Sam Dekker,Sam Dekker,2017-10-19,5.183333333333334,dekkesa01
48265,Frank Ntilikina,Frank Ntilikina,2017-10-19,7.533333333333333,ntilila01
47581,Antonio Blakeney,Antonio Blakeney,2017-10-19,1.2333333333333334,blakean01
47327,Dakari Johnson,Dakari Johnson,2017-10-19,2.8,johnsda04
26245,Montrezl Harrell,Montrezl Harrell,2017-10-19,3.283333333333333,harremo01
12394,Danilo Gallinari,Danilo Gallinari,2017-10-19,33.05,gallida01
48122,Terrance Ferguson,Terrance Ferguson,2017-10-19,10.65,fergute01
47099,Kyle Kuzma,Kyle Kuzma,2017-10-19,18.7,kuzmaky01
7302,Kristaps Porzi??is,Kristaps Porzingis,2017-10-19,38.28333333333333,porzikr01
3336,Patrick Patterson,Patrick Patterson,2017-10-19,6.7,pattepa01
5294,Jerami Grant,Jerami Grant,2017-10-19,20.516666666666666,grantje01
38230,Pascal Siakam,Pascal Siakam,2017-10-19,4.966666666666667,siakapa01
23894,Corey Brewer,Corey Brewer,2017-10-19,16.433333333333334,breweco01
47360,Lonzo Ball,Lonzo Ball,2017-10-19,29.35,balllo01
43233,David Nwaba,David Nwaba,2017-10-19,12.883333333333333,nwabada01
15171,Patrick Beverley,Patrick Beverley,2017-10-19,24.116666666666667,beverpa01
35602,Michael Beasley,Michael Beasley,2017-10-19,0.6,beaslmi01
11519,Brook Lopez,Brook Lopez,2017-10-19,28.733333333333334,lopezbr01
4099,Jonas Valan?i?nas,Jonas Valanciunas,2017-10-19,30.5,valanjo01
46947,OG Anunoby,OG Anunoby,2017-10-19,17.233333333333334,anunoog01
31492,Delon Wright,Delon Wright,2017-10-19,23.366666666666667,wrighde01
47798,Alfonzo McKinnie,Alfonzo McKinnie,2017-10-19,1.2333333333333334,mckinal01
4235,Ramon Sessions,Ramon Sessions,2017-10-19,20.633333333333333,sessira01
4263,Larry Nance,Larry Nance Jr.,2017-10-19,29.5,nancela02
7011,Lance Thomas,Lance Thomas,2017-10-19,15.5,thomala01
2136,DeMar DeRozan,DeMar DeRozan,2017-10-19,32.05,derozde01
46827,Lauri Markkanen,Lauri Markkanen,2017-10-19,33.45,markkla01
8468,Kyle O'Quinn,Kyle O'Quinn,2017-10-19,21.766666666666666,oquinky01
41167,Kay Felder,Kay Felder,2017-10-19,15.516666666666667,feldeka01
40180,Jakob Pöltl,Jakob Poeltl,2017-10-19,17.5,poeltja01
14355,Wesley Johnson,Wesley Johnson,2017-10-19,19.816666666666666,johnswe01
3920,Jordan Clarkson,Jordan Clarkson,2017-10-19,22.516666666666666,clarkjo01
34544,Cristiano Felício,Cristiano Da Silva Felicio,2017-10-19,16.266666666666666,feliccr01
40068,Álex Abrines,Alex Abrines,2017-10-19,24.25,abrinal01
4551,Doug McDermott,Doug McDermott,2017-10-19,23.816666666666666,mcderdo01
41285,Paul Zipser,Paul Zipser,2017-10-19,24.116666666666667,zipsepa01
31996,Tyler Ennis,Tyler Ennis,2017-10-19,9.833333333333334,ennisty01
47900,Damyean Dotson,Damyean Dotson,2017-10-19,2.8,dotsoda01
22207,Willie Reed,Willie Reed,2017-10-19,13.05,reedwi02
25563,Iman Shumpert,Iman Shumpert,2017-10-20,13.966666666666667,shumpim01
3921,Jordan Clarkson,Jordan Clarkson,2017-10-20,17.183333333333334,clarkjo01
36469,Jodie Meeks,Jodie Meeks,2017-10-20,15.033333333333333,meeksjo01
45794,Justin Jackson,Justin Jackson,2017-10-20,17.2,jacksju01
44875,Jonathan Isaac,Jonathan Isaac,2017-10-20,22.65,isaacjo01
8698,Tony Snell,Tony Snell,2017-10-20,31.616666666666667,snellto01
31231,Harrison Barnes,Harrison Barnes,2017-10-20,38.81666666666667,barneha02
25741,Quincy Acy,Quincy Acy,2017-10-20,16.733333333333334,acyqu01
9005,Dwight Powell,Dwight Powell,2017-10-20,9.733333333333333,poweldw01
48386,Jarrett Allen,Jarrett Allen,2017-10-20,14.6,allenja01
24811,Matthew Dellavedova,Matthew Dellavedova,2017-10-20,24.233333333333334,dellama01
